Bulan,Minggu ke-,Kab/Kota, Indikator Perubahan Harga (%),Komoditas Andil Perubahan Harga ,Komoditas Fluktuasi Harga Tertinggi,Fluktuasi Harga
,M2,BATU,2.414,CABAI MERAH(1.467);CABAI RAWIT(0.991);BAWANG MERAH(0.274),CABAI RAWIT,0.034003
,M3,BATU,2.414,CABAI MERAH(1.355);CABAI RAWIT(0.846);BAWANG MERAH(0.347),BAWANG MERAH,0.0659748
,M4,BATU,2.288,CABAI MERAH(1.21);CABAI RAWIT(0.799);BAWANG MERAH(0.351),CABAI MERAH,0.0903766
Januari '24,M1,BATU,0.166,DAGING SAPI(0.716);BAWANG PUTIH(0.126);BAWANG MERAH(0.053),CABAI MERAH,0.0524864
,M2,BATU,-0.746,CABAI MERAH(-0.977);CABAI RAWIT(-0.393);TELUR AYAM RAS(-0.042),CABAI RAWIT,0.0633677
,M3,BATU,-1.6,"CABAI RAWIT(-1.0273), CABAI MERAH(-0.9684), DAGING AYAM RAS(-0.0618)",CABAI RAWIT,0.2
,M4,BATU,-2.137,CABAI RAWIT(-1.409);CABAI MERAH(-0.96);DAGING AYAM RAS(-0.098),CABAI RAWIT,0.243442094
Februari '24,M1,BATU,-2.694,BERAS(-1.851);CABAI RAWIT(-0.903);DAGING SAPI(-0.185),BERAS,0.047217462
,M2,BATU,-2.328,BERAS(-1.775);CABAI RAWIT(-0.903);DAGING AYAM RAS(-0.103),BERAS,0.031829896
,M3,BATU,-1.962,BERAS(-1.536);CABAI RAWIT(-1.023);BAWANG MERAH(-0.074),CABAI RAWIT,0.06
,M4,BATU,0.355,"CABAI MERAH(0,524);BERAS(0,494);DAGING SAPI(0,13)",CABAI RAWIT,0.094135296
,M5,BATU,1.492,"BERAS(0,995);CABAI MERAH(0,643);DAGING AYAM RAS(0,251)",CABAI RAWIT,0.209758486
Maret'24,M1,BATU,4.523,"BERAS(1,77);DAGING AYAM RAS(1,046);TELUR AYAM RAS(0,483)",STABIL,0
,M2,BATU,4.793,"BERAS(1,77);DAGING AYAM RAS(1,352);TELUR AYAM RAS(0,554)",CABAI MERAH,0.049698638
,M3,BATU,4.489,"BERAS(1,77); DAGING AYAM RAS(1,758); TELUR AYAM RAS(0,671)",CABAI RAWIT,0.210708888
,M4,BATU,3.92,"DAGING AYAM RAS(1,788); BERAS(1,77); TELUR AYAM RAS(0,671)",CABAI RAWIT,0.260894725
April'24,M1,BATU,-3.69,"CABAI MERAH(-1.1446), BERAS(-0.9792), CABAI RAWIT(-0.8677)",CABAI RAWIT,0.09
,M3,BATU,-3.38,"BERAS(-1.2585), CABAI MERAH(-1.1175), CABAI RAWIT(-0.7906)",BAWANG MERAH,0.165875836
,M4,BATU,-3.43,"BERAS(-1.3819), CABAI MERAH(-1.1503), CABAI RAWIT(-0.8411)",BAWANG MERAH,0.1816
Mei'24,M1,BATU,1.58,"BAWANG MERAH(1.1576), CABAI MERAH(0.3723), BAWANG PUTIH(0.3012)",CABAI MERAH,0.064516129
,M2,BATU,1.81,"BAWANG MERAH(1.322), CABAI MERAH(0.5529), BAWANG PUTIH(0.3706)",CABAI RAWIT,0.095939933
,M3,BATU,2.08,"BAWANG MERAH(1.2527), CABAI MERAH(0.7264), BAWANG PUTIH(0.4097)",CABAI MERAH,0.095345188
,M4,BATU,1.89,"BAWANG MERAH(1.1497), CABAI MERAH(0.6833), BAWANG PUTIH(0.4034)",CABAI MERAH,0.094211144
,M5,BATU,1.5,"BAWANG MERAH(0.9942), CABAI MERAH(0.5091), BAWANG PUTIH(0.3752)",CABAI MERAH,0.132561534
Juni'24,M1,BATU,-2.15,"BAWANG MERAH(-0.6161), DAGING SAPI(-0.5191), CABAI MERAH(-0.4112)",CABAI RAWIT,0.0486
,M3,BATU,-1.99,"BAWANG MERAH(-0.662), DAGING AYAM RAS(-0.5778), DAGING SAPI(-0.5191)",CABAI RAWIT,0.12133083
,M4,BATU,-2,"BAWANG MERAH(-0.7613), DAGING AYAM RAS(-0.6069), DAGING SAPI(-0.5191)",CABAI MERAH,0.119875601
Juli'24,M1,BATU,-1.16,"CABAI MERAH(-0.4619), BAWANG MERAH(-0.4465), BAWANG PUTIH(-0.1463)",STABIL,0
,M2,BATU,-1.19,"BAWANG MERAH(-0.5476) , CABAI MERAH(-0.4662), BAWANG PUTIH(-0.1463)",CABAI RAWIT,0.09582659576
,M3,BATU,-1.09,"BAWANG MERAH(-0.6359), CABAI MERAH(-0.5629), BAWANG PUTIH(-0.1463)",CABAI RAWIT,0.2328162843
,M4,BATU,-0.84,"BAWANG MERAH(-0.6789), CABAI MERAH(-0.6206), BAWANG PUTIH(-0.1463)",CABAI RAWIT,0.2766361649
Agustus'24,M1,BATU,0.76,"CABAI RAWIT(1.4753), DAGING SAPI(0.2909), MINYAK GORENG(0.0501)",CABAI RAWIT,0.04804583838
,M2,BATU,1.01,"CABAI RAWIT(1.6932), DAGING SAPI(0.2909), MINYAK GORENG(0.07)",CABAI MERAH,0.08561326348
,M3,BATU,1.05,"CABAI RAWIT(1.6665), DAGING SAPI(0.2909), MINYAK GORENG(0.162)",CABAI MERAH,0.07784548211
,M4,BATU,0.81,"CABAI RAWIT(1.4684), DAGING SAPI(0.2909), MINYAK GORENG(0.1739)",CABAI RAWIT,0.09967019534
,M5,BATU,0.35,"CABAI RAWIT(1.1936), DAGING SAPI(0.2009), MINYAK GORENG(0.157)",CABAI RAWIT,0.165496222
September'24,M1,BATU,-2.58,"CABAI RAWIT(-1.4922), DAGING SAPI(-0.3546), CABAI MERAH(-0.3118)",CABAI MERAH,0.05024977592
,M2,BATU,-2.88,"CABAI RAWIT(-1.5257), CABAI MERAH(-0.4384), DAGING SAPI(-0.3546)",CABAI MERAH,0.08071300023
,M3,BATU,-3.05,"CABAI RAWIT(-1.5352), CABAI MERAH(-0.5281), DAGING SAPI(-0.3546)",CABAI MERAH,0.1081811172
,M4,BATU,-3.03,"CABAI RAWIT(-1.5415), CABAI MERAH(-0.5846), DAGING SAPI(-0.3546)",CABAI MERAH,0.111608238
Oktober'24,M1,BATU,-0.03,"CABAI MERAH(-0.1531), DAGING AYAM RAS(-0.0754), BERAS(-0.0517)",STABIL,0
,M2,BATU,-0.1,"CABAI MERAH(-0.1993), BERAS(-0.1514), DAGING AYAM RAS(-0.0754)",CABAI MERAH,0.03194219858755938
,M3,BATU,-0.06,"CABAI MERAH(-0.2207), BERAS(-0.1845), DAGING AYAM RAS(-0.0563)",CABAI RAWIT,0.039563516
,M4,BATU,0.02,"BAWANG MERAH(0.2054), BAWANG PUTIH(0.1138), CABAI RAWIT(0.0684)",CABAI MERAH,0.047595903
,M5,BATU,0.19,"BAWANG MERAH(0.2448), DAGING AYAM RAS(0.1621), BAWANG PUTIH(0.1318)",CABAI MERAH,0.049422
November'24,M1,BATU,0.78,"DAGING AYAM RAS(0.6307), BAWANG MERAH(0.3708), BAWANG PUTIH(0.073)",STABIL,0
,M2,BATU,0.64,"DAGING AYAM RAS(0.485), BAWANG MERAH(0.3708), BAWANG PUTIH(0.073)",DAGING AYAM RAS,0.015732725
,M3,BATU,0.7,"BAWANG MERAH(0.4372), DAGING AYAM RAS(0.4369), BAWANG PUTIH(0.073)",BAWANG MERAH,0.043054415
,M4,BATU,0.72,"BAWANG MERAH(0.5056), DAGING AYAM RAS(0.4167), BAWANG PUTIH(0.073)",BAWANG MERAH,0.0702
Desember'24,M1,BATU,0.14,"BAWANG MERAH(0.4769), PISANG(0.0365), TEPUNG TERIGU(0.0273)",BERAS,0
,M2,BATU,0.36,"BAWANG MERAH(0.4769), DAGING AYAM RAS(0.0391), PISANG(0.0365)",CABAI MERAH,0.033532323
,M3,BATU,0.71,"BAWANG MERAH(0.4769), CABAI MERAH(0.1362), DAGING AYAM RAS(0.0965)",CABAI MERAH,0.109
,M4,BATU,1.04,"BAWANG MERAH(0.4903), CABAI MERAH(0.2348), DAGING AYAM RAS(0.1158)",CABAI MERAH,0.194487373
Januari '25,M1,BATU,3.51,"CABAI RAWIT(1.2828), CABAI MERAH(1.238), TELUR AYAM RAS(0.5421)",CABAI MERAH,0.03175
,M2,BATU,4.26,"CABAI RAWIT(1.8586), CABAI MERAH(1.4167), TELUR AYAM RAS(0.5421)",CABAI RAWIT,0.1805066435
,M3,BATU,4.84,"CABAI RAWIT(2.3236), CABAI MERAH(1.5249), TELUR AYAM RAS(0.5421)",CABAI RAWIT,0.2052235577
,M4,BATU,4.87,"CABAI RAWIT(2.3614), CABAI MERAH(1.6554), TELUR AYAM RAS(0.3905)",CABAI RAWIT,0.1703419579
Februari '25,M1,BATU,-1.04,"TELUR AYAM RAS(-0.5918), CABAI RAWIT(-0.4772), DAGING AYAM RAS(-0.271)",BAWANG MERAH,0.03402
,M2,BATU,-1.17,"CABAI RAWIT(-0.5435), TELUR AYAM RAS(-0.5007), BAWANG MERAH(-0.3452)",BAWANG MERAH,0.0440617466
,M3,BATU,-1.45,"CABAI RAWIT(-0.6456), TELUR AYAM RAS(-0.458), BAWANG MERAH(-0.3995)",CABAI MERAH,0.09653107359
,M4,BATU,-1.14,"BAWANG MERAH(-0.4262), CABAI RAWIT(-0.4238), TELUR AYAM RAS(-0.3568)",CABAI RAWIT,0.1376386363
Maret'25,M1,BATU,3.03,"CABAI RAWIT(1.8718), CABAI MERAH(0.4241), TELUR AYAM RAS(0.3209)",CABAI RAWIT,0.05388115608
,M2,BATU,2.29,"CABAI RAWIT(1.4945), TELUR AYAM RAS(0.302), DAGING AYAM RAS(0.2742)",CABAI MERAH,0.1443737209
,M3,BATU,2.28,"CABAI RAWIT(1.5765), DAGING AYAM RAS(0.2742), TELUR AYAM RAS(0.2456)",CABAI MERAH,0.1497901292
April'25,M2,BATU,-1.07,"CABAI RAWIT(-0.8875), TELUR AYAM RAS(-0.2279), DAGING AYAM RAS(-0.2111)",STABIL,0
,M3,BATU,-1.31,"CABAI RAWIT(-0.7864), DAGING AYAM RAS(-0.4857), TELUR AYAM RAS(-0.3199)",CABAI RAWIT,0.06001839657
,M4,BATU,-2.08,"CABAI RAWIT(-1.2059), DAGING AYAM RAS(-0.7819), TELUR AYAM RAS(-0.3548)",CABAI MERAH,0.1324631338
Mei'25,M1,BATU,-2.24,"CABAI RAWIT(-1.3317), DAGING AYAM RAS(-0.5126), CABAI MERAH(-0.2092)",CABAI MERAH,0.03389830508
,M3,BATU,-2.61,"CABAI RAWIT(-1.5893), DAGING AYAM RAS(-0.445), CABAI MERAH(-0.369)",CABAI RAWIT,0.08573538766
,M4,BATU,-2.81,"CABAI RAWIT(-1.7288), CABAI MERAH(-0.471), DAGING AYAM RAS(-0.338)",CABAI RAWIT,0.1203439905
,M5,BATU,-2.96,"CABAI RAWIT(-1.8311), CABAI MERAH(-0.518), DAGING AYAM RAS(-0.2831)",CABAI RAWIT,0.154621735
Juni'25,M1,BATU,-1.10,"CABAI RAWIT(-0.3501), BAWANG MERAH(-0.2951), CABAI MERAH(-0.2162)",CABAI RAWIT,0.1049727762
,M2,BATU,-0.86,"BAWANG PUTIH(-0.3336), BAWANG MERAH(-0.2951), CABAI RAWIT(-0.2626)",CABAI MERAH,0.08663871474
,M3,BATU,-0.66,"BAWANG PUTIH(-0.396), BAWANG MERAH(-0.2503), CABAI RAWIT(-0.0854)",CABAI RAWIT,0.1430438074
,M4,BATU,-0.43,"BAWANG PUTIH(-0.4191), BAWANG MERAH(-0.1707), CABAI MERAH(-0.1261)",CABAI RAWIT,0.181239621
